_id,_submission_time,lat,lon,altitude,precision,objeto,estado,tipo_de_contenedor,otro_tipo,tipos_de_basura,observaciones,photo_url
45596684,2020-01-27 21:30:03+00,-17.39431778,-66.15853071,2598,3.5,Contenedor,Malo,Trilliza,,,Le falta el basurero orgánico,"<a href=""https://postimg.cc/wyrx6F5y"" target=""_blank""><img src=""https://i.postimg.cc/wyrx6F5y/1580153044126.jpg"" alt=""1580153044126""/></a><br/><br/>"
45596685,2020-01-27 21:30:05+00,-17.39346249,-66.16389018,2609,3,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/CdZLvTYj"" target=""_blank""><img src=""https://i.postimg.cc/CdZLvTYj/1580155165905.jpg"" alt=""1580155165905""/></a><br/><br/>"
45596686,2020-01-27 21:30:07+00,-17.39314009,-66.16245931,2601,2,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/4Hhfntw8"" target=""_blank""><img src=""https://i.postimg.cc/4Hhfntw8/1580155409727.jpg"" alt=""1580155409727""/></a><br/><br/>"
45596689,2020-01-27 21:30:11+00,-17.39323694,-66.16195388,2591,2.5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/8sqk9KPx"" target=""_blank""><img src=""https://i.postimg.cc/8sqk9KPx/1580155531454.jpg"" alt=""1580155531454""/></a><br/><br/>"
45597426,2020-01-27 21:51:23+00,-17.39338999,-66.1620325,2608,2,Contenedor,Regular,Trilliza,,,,"<a href=""https://postimg.cc/sv7frYMx"" target=""_blank""><img src=""https://i.postimg.cc/sv7frYMx/1580155613201.jpg"" alt=""1580155613201""/></a><br/><br/>"
45603259,2020-01-28 03:15:49+00,-17.39335152,-66.16161584,2598,2,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/v4yYH4nz"" target=""_blank""><img src=""https://i.postimg.cc/v4yYH4nz/1580155689301.jpg"" alt=""1580155689301""/></a><br/><br/>"
45603264,2020-01-28 03:16:05+00,-17.39332243,-66.16133446,2600,2.5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/9DBW4ctj"" target=""_blank""><img src=""https://i.postimg.cc/9DBW4ctj/1580155752033.jpg"" alt=""1580155752033""/></a><br/><br/>"
45603296,2020-01-28 03:18:27+00,-17.39313254,-66.16156622,2598,2,Contenedor,Regular,Trilliza,,,,"<a href=""https://postimg.cc/yJY7c2v3"" target=""_blank""><img src=""https://i.postimg.cc/yJY7c2v3/1580155830234.jpg"" alt=""1580155830234""/></a><br/><br/>"
45603323,2020-01-28 03:19:34+00,-17.39313485,-66.16116573,2601,2,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/628w1ns9"" target=""_blank""><img src=""https://i.postimg.cc/628w1ns9/1580155905610.jpg"" alt=""1580155905610""/></a><br/><br/>"
45603329,2020-01-28 03:19:45+00,-17.39301272,-66.16100287,2603,2.5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/06WPfZBW"" target=""_blank""><img src=""https://i.postimg.cc/06WPfZBW/1580155967210.jpg"" alt=""1580155967210""/></a><br/><br/>"
45603302,2020-01-28 03:18:39+00,-17.39278872,-66.15990291,2600,2.5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/rRWTqTF3"" target=""_blank""><img src=""https://i.postimg.cc/rRWTqTF3/1580156150722.jpg"" alt=""1580156150722""/></a><br/><br/>"
45603339,2020-01-28 03:19:55+00,-17.39252632,-66.15918844,2596,3.5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/GHwrq4XC"" target=""_blank""><img src=""https://i.postimg.cc/GHwrq4XC/1580156363560.jpg"" alt=""1580156363560""/></a><br/><br/>"
